LATITUDE;LONGITUDE
55694730;12485901
55694737;12485901
55694744;12485900
55694772;12485900
55694780;12485901
55694793;12485902
55694806;12485901
55694813;12485901
55694820;12485900
55694827;12485899
55694834;12485898
55694863;12485896
55694870;12485896
55694877;12485896
55694884;12485895
55694891;12485895
55694898;12485894
55694904;12485893
55694911;12485892
55694918;12485892
55694925;12485892
55694932;12485892
55694950;12485888
55694956;12485887
55694963;12485887
55694970;12485888
55694976;12485889
55694982;12485889
55694989;12485890
55694995;12485889
55695001;12485890
55695008;12485891
55695014;12485893
55695020;12485896
55695027;12485913
55695030;12485923
55695034;12485945
55695036;12485957
55695038;12485967
55695039;12485978
55695041;12485989
55695043;12486000
55695044;12486012
55695048;12486034
55695049;12486044
55695050;12486055
55695053;12486066
55695054;12486077
55695056;12486088
55695058;12486098
55695059;12486108
55695061;12486119
55695063;12486130
55695066;12486141
55695068;12486151
55695070;12486162
55695071;12486172
55695073;12486182
55695074;12486192
55695076;12486203
